Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains,Issue_Size_Cr,Listing_Gain_%
2021-07-29,Tatva Chintan,500.0,2.55,9.78,13.36,1083.0,2111.8,2310.25,113.32,2323.0,114.5,500.0,94.9953831948292
2021-07-23,Zomato,9375.0,51.79,32.96,7.45,76.0,115.0,125.85,65.59,86.0,13.16,9375.0,51.31578947368421
2021-07-19,G R Infra,963.28,93.18,73.01,4.89,837.0,1700.0,1746.8,108.7,1507.55,80.11,963.28,103.10633213859019
2021-07-19,Clean Science,1546.0,156.37,206.43,9.0,900.0,1784.4,1585.2,76.13,2010.0,123.33,1546.0,98.26666666666668
2021-07-07,India Pesticide,800.0,2.64,1.36,4.4,296.0,360.0,335.45,13.33,305.6,3.24,800.0,21.62162162162162
2021-05-07,Krishna Inst.,2146.0,5.26,1.89,2.9,825.0,1009.0,1096.8,32.95,1309.6,58.74,2146.0,22.3030303030303
2021-06-28,Dodla Dairy,521.0,84.88,73.26,11.34,428.0,550.0,609.1,42.31,475.0,10.98,521.0,28.504672897196258
2021-06-24,Shyam Metalics,909.0,62.18,172.51,5.29,306.0,380.0,375.85,22.83,323.35,5.67,909.0,24.18300653594771
2021-06-24,Sona BLW,5550.0,1.57,0.22,0.66,291.0,302.4,362.85,24.69,655.0,125.09,5550.0,3.9175257731958686
2021-05-14,PowerGrid InvIT,7734.99,0.0,0.0,0.0,100.0,104.0,102.98,2.98,130.0,30.0,7734.99,4.0
2021-04-19,Macrotech Dev,2500.0,3.05,1.44,0.4,486.0,439.0,463.15,-4.7,1271.45,161.62,2500.0,-9.670781893004115
2021-07-04,Barbeque Nat,453.6,0.0,0.0,0.0,500.0,492.0,590.4,18.08,1343.0,168.6,453.6,-1.6
2021-03-30,Nazara,582.91,52.82,148.42,34.49,1101.0,1971.0,1576.8,43.22,1965.95,78.56,582.91,79.01907356948229
2021-03-26,Suryoday Small,582.34,2.18,1.31,3.09,305.0,274.75,276.2,-9.44,127.05,-58.34,582.34,-9.918032786885247
2021-03-26,Kalyan Jeweller,1175.0,1.18,0.97,1.47,87.0,73.9,75.3,-13.45,62.25,-28.45,1175.0,-15.057471264367809
2021-03-25,Laxmi Organic,600.0,1.13,0.73,4.41,130.0,173.0,164.6,26.62,427.75,229.04,600.0,33.07692307692307
2021-03-25,Craftsman,823.7,0.56,0.05,1.04,1490.0,1440.0,1433.0,-3.83,2083.4,39.83,823.7,-3.3557046979865772
2021-03-24,Anupam Rasayan,760.0,30.8,62.06,4.62,555.0,534.7,525.9,-5.24,916.4,65.12,760.0,-3.6576576576576496
2021-03-19,Easy Trip,510.0,0.0,2.79,14.48,187.0,182.0,208.3,11.39,570.0,204.81,510.0,-2.6737967914438503
2021-03-15,MTAR Tech,596.41,52.01,522.35,12.78,575.0,990.05,1082.25,88.22,1900.5,230.52,596.41,72.18260869565216
2021-05-03,Heranba,60.0,25.98,108.72,4.82,627.0,900.0,812.25,29.55,644.9,2.85,60.0,43.54066985645933
2021-02-26,Railtel,819.24,22.03,51.4,7.08,94.0,109.0,121.4,29.15,103.15,9.73,819.24,15.957446808510639
2021-02-25,Nureca,100.0,0.24,17.1,74.29,400.0,634.95,666.65,66.66,1483.75,270.94,100.0,58.73750000000001
2021-05-02,Stove Kraft,412.63,8.02,32.72,26.04,385.0,498.0,445.95,15.83,669.85,73.99,412.63,29.35064935064935
